co2_ppm,henkilot,tehotaso,aktiivisuus,co2_tuotto_lh,ilmamaara_ls
1250,15,2,"Toimistotyo, seisominen",277.5,91
550,2,2,"Rauhallinen istuminen",30.8,57
730,4,2,"Toimistotyo, seisominen",74.0,62
805,5,2,"Toimistotyo, seisominen",92.5,63
675,3,2,"Toimistotyo, seisominen",55.5,56
675,3,2,"Toimistotyo, seisominen",55.5,56
975,8,2,"Toimistotyo, seisominen",148.0,71
1025,9,2,"Toimistotyo, seisominen",166.5,74
2050,27,2,"Toimistotyo, seisominen",499.5,84
2150,33,3,"Toimistotyo, seisominen",610.5,97
1000,10,3,"Toimistotyo, seisominen",185.0,86
