co2_ppm,henkilot,ilmanvaihdon_teho,aktiivisuustaso,co2_tuotto_lh,ilmamaara_ls
1250,15,2,Toimistotyö seisominen,277.5,91
550,2,2,Rauhallinen istuminen,30.8,57
730,4,2,Toimistotyö seisominen,74.0,62
805,5,2,Toimistotyö seisominen,92.5,63
675,3,2,Toimistotyö seisominen,55.5,56
675,3,2,Toimistotyö seisominen,55.5,56
975,8,2,Toimistotyö seisominen,148.0,71
1025,9,2,Toimistotyö seisominen,166.5,74
2050,27,2,Toimistotyö seisominen,499.5,84
2150,33,3,Toimistotyö seisominen,610.5,97
1000,10,3,Toimistotyö seisominen,185.0,86
400,0,1,Rauhallinen istuminen,0.0,50
475,1,1,Rauhallinen istuminen,15.4,57
550,2,1,Rauhallinen istuminen,30.8,57
625,3,1,Rauhallinen istuminen,46.2,57
690,4,1,Rauhallinen istuminen,61.6,58
760,5,1,Rauhallinen istuminen,77.0,58
830,6,1,Rauhallinen istuminen,92.4,59
900,7,1,Rauhallinen istuminen,107.8,60
970,8,1,Rauhallinen istuminen,123.2,60
1040,9,1,Rauhallinen istuminen,138.6,61
1110,10,1,Rauhallinen istuminen,154.0,61
500,1,2,Toimistotyö seisominen,18.5,51
600,2,2,Toimistotyö seisominen,37.0,51
700,3,2,Toimistotyö seisominen,55.5,51
790,4,2,Toimistotyö seisominen,74.0,53
880,5,2,Toimistotyö seisominen,92.5,53
970,6,2,Toimistotyö seisominen,111.0,54
1060,7,2,Toimistotyö seisominen,129.5,55
1150,8,2,Toimistotyö seisominen,148.0,55
1240,9,2,Toimistotyö seisominen,166.5,56
1330,10,2,Toimistotyö seisominen,185.0,56
1420,11,2,Toimistotyö seisominen,203.5,56
1510,12,2,Toimistotyö seisominen,222.0,56
1600,13,2,Toimistotyö seisominen,240.5,56
1690,14,2,Toimistotyö seisominen,259.0,56
1780,15,2,Toimistotyö seisominen,277.5,56
1870,16,2,Toimistotyö seisominen,296.0,56
1960,17,2,Toimistotyö seisominen,314.5,56
2050,18,2,Toimistotyö seisominen,333.0,56
600,3,3,Toimistotyö seisominen,55.5,77
700,5,3,Toimistotyö seisominen,92.5,86
800,8,3,Toimistotyö seisominen,148.0,103
900,10,3,Toimistotyö seisominen,185.0,103
1100,14,3,Toimistotyö seisominen,259.0,103
1300,18,3,Toimistotyö seisominen,333.0,103
1500,22,3,Toimistotyö seisominen,407.0,103
1700,26,3,Toimistotyö seisominen,481.0,103
1900,30,3,Toimistotyö seisominen,555.0,103
2100,34,3,Toimistotyö seisominen,629.0,103
2300,38,3,Toimistotyö seisominen,703.0,103
2500,42,3,Toimistotyö seisominen,777.0,103
